geolocation,industry_description,number_of_establishments_2019,total_employment_at_2019,paid_employees_at_2019,workers_on_sub-contract_agreement_or_under_manpower_agencies_contractors_at_2019,total_revenue_2019,total_expense_2019,compensation_2019,other_expense_2019,value_added_2019,gross_additions_to_tangible_fixed_assets_2019,change_in_inventories_2019,sales_from_e-commerce_2019,subsidies_2019
Philippines,Real Estate Activities,5225,105973,105230,33891,1102401089,716234744,41931616,674303128,486429654,119180536,19599415,0,14849744
Philippines,Real estate activities with own or leased property,4569,96949,96322,31239,1074853071,693890879,38304002,655586878,475572011,118403327,19841911,0,14849744
Philippines,Real estate activities on a fee or contract basis,656,9024,8908,2652,27548019,22343865,3627614,18716250,10857643,777209,-242496,0,0
National Capital Region,Real Estate Activities,3076,67437,67101,19838,956617780,606534808,32910351,573624457,426875798,104656328,11157100,0,14622318
National Capital Region,Real estate activities with own or leased property,2614,60474,60164,17462,935149745,588602870,29719488,558883382,419377911,104182777,11157100,0,14622318
National Capital Region,Real estate activities on a fee or contract basis,462,6962,6937,2376,21468035,17931938,3190863,14741075,7497887,473551,0,0,0
Cordillera Administrative Region,Real Estate Activities,111,1449,1449,105,2490480,1644532,366762,1277770,1686152,277,-928680,0,0
Cordillera Administrative Region,Real estate activities with own or leased property,105,1397,1397,105,2456776,1614219,353647,1260572,1668084,0,-928682,0,0
Cordillera Administrative Region,Real estate activities on a fee or contract basis,6,52,52,0,33703,30313,13115,17198,18068,277,2,0,0
Ilocos Region,Real Estate Activities,70,1447,1447,47,1120020,865149,230698,634451,430787,48302,200772,0,0
Ilocos Region,Real estate activities with own or leased property,64,1352,1352,0,938884,712566,209874,502692,328304,23145,200772,0,0
Ilocos Region,Real estate activities on a fee or contract basis,6,95,95,47,181136,152583,20824,131759,102483,25157,0,0,0
Cagayan Valley,Real Estate Activities,26,389,361,0,669578,467318,95830,371487,305904,0,21345,0,0
Cagayan Valley,Real estate activities with own or leased property,26,389,361,0,669578,467318,95830,371487,305904,0,21345,0,0
Cagayan Valley,Real estate activities on a fee or contract basis,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Luzon,Real Estate Activities,315,4308,4308,640,10852458,6915592,824745,6090847,3544748,290997,-263186,0,47658
Central Luzon,Real estate activities with own or leased property,290,4061,4061,640,10457810,6671695,762056,5909639,3274587,143175,-261825,0,47658
Central Luzon,Real estate activities on a fee or contract basis,25,247,247,0,394649,243896,62689,181207,270160,147822,-1361,0,0
Calabarzon,Real Estate Activities,422,9733,9657,5204,30621421,22331878,1919179,20412699,10501337,7116001,-2195695,0,140953
Calabarzon,Real estate activities with own or leased property,374,9402,9345,5204,29334913,21569194,1850496,19718698,9675423,7116001,-2011544,0,140953
Calabarzon,Real estate activities on a fee or contract basis,48,331,312,0,1286508,762684,68683,694001,825915,0,-184151,0,0
Mimaropa Region,Real Estate Activities,22,396,384,30,248826,211793,39356,172437,106640,2550,-26016,0,0
Mimaropa Region,Real estate activities with own or leased property,19,370,358,30,239774,203443,37145,166298,102076,2550,-26181,0,0
Mimaropa Region,Real estate activities on a fee or contract basis,4,26,26,0,9052,8350,2211,6139,4564,0,165,0,0
Bicol Region,Real Estate Activities,74,1350,1319,0,6688464,6118813,341953,5776860,1161374,83879,39659,0,0
Bicol Region,Real estate activities with own or leased property,74,1350,1319,0,6688464,6118813,341953,5776860,1161374,83879,39659,0,0
Bicol Region,Real estate activities on a fee or contract basis,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,Real Estate Activities,200,2119,2084,224,2129217,1664127,303990,1360137,871587,153873,-128593,0,0
Western Visayas,Real estate activities with own or leased property,183,1953,1918,224,1858320,1566332,290136,1276196,643493,145130,-128593,0,0
Western Visayas,Real estate activities on a fee or contract basis,18,166,166,0,270897,97794,13853,83941,228094,8743,0,0,0
Central Visayas,Real Estate Activities,494,7259,7101,1856,52617386,40454045,2779110,37674936,24128424,3031401,11052099,0,0
Central Visayas,Real estate activities with own or leased property,455,6630,6543,1796,49408689,37787187,2617260,35169926,22566939,2913085,11110749,0,0
Central Visayas,Real estate activities on a fee or contract basis,39,628,558,60,3208697,2666859,161850,2505009,1561485,118317,-58651,0,0
Eastern Visayas,Real Estate Activities,43,975,975,1137,878007,615491,47783,567708,338946,18587,-48554,0,0
Eastern Visayas,Real estate activities with own or leased property,43,975,975,1137,878007,615491,47783,567708,338947,18587,-48554,0,0
Eastern Visayas,Real estate activities on a fee or contract basis,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Real Estate Activities,34,664,663,1018,823656,760024,69725,690299,418396,11213,-90609,0,0
Zamboanga Peninsula,Real estate activities with own or leased property,30,648,648,1018,815079,752118,68757,683361,412366,7872,-90548,0,0
Zamboanga Peninsula,Real estate activities on a fee or contract basis,4,16,15,0,8577,7906,968,6938,6030,3341,-61,0,0
Northern Mindanao,Real Estate Activities,50,1181,1128,3146,14971608,11987761,603517,11384244,7651481,2087348,1081220,0,38814
Northern Mindanao,Real estate activities with own or leased property,43,1132,1078,3090,14738477,11888387,592566,11295821,7582511,2087348,1077828,0,38814
Northern Mindanao,Real estate activities on a fee or contract basis,7,50,50,56,233131,99374,10951,88423,68970,0,3393,0,0
Davao Region,Real Estate Activities,244,6141,6129,635,19040244,13304198,1237343,12066855,7744127,1555309,51910,0,0
Davao Region,Real estate activities with own or leased property,214,5740,5728,522,18664234,13008185,1165451,11842734,7522290,1555309,51910,0,0
Davao Region,Real estate activities on a fee or contract basis,30,401,401,114,376010,296013,71892,224121,221837,0,0,0,0
Soccsksargen,Real Estate Activities,32,709,709,0,587783,527981,109163,418818,309779,13685,-18394,0,0
Soccsksargen,Real estate activities with own or leased property,27,686,686,0,553617,498967,103653,395314,293502,13685,-18394,0,0
Soccsksargen,Real estate activities on a fee or contract basis,6,23,23,0,34165,29014,5511,23504,16277,0,0,0,0
Caraga,Real Estate Activities,13,416,416,12,2044161,1831235,52111,1779124,354173,110786,-304964,0,0
Caraga,Real estate activities with own or leased property,13,416,416,12,2044161,1831235,52111,1779124,354173,110786,-304964,0,0
Caraga,Real estate activities on a fee or contract basis,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Real Estate Activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Real estate activities with own or leased property,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Real estate activities on a fee or contract basis,0,0,0,0,0,0,0,0,0,0,0,0,0
