,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Summary Statistics for Professional, Scientific and Technical Activities Establishments"
Industry Description,2015 Number of establishments All employment sizes,2015 Number of establishments Total employment of 20 and over,2015 Number of establishments Total employment of less than 20,2015 Employment All employment sizes,2015 Employment Total employment of 20 and over,2015 Employment Total employment of less than 20,2015 Paid employees All employment sizes,2015 Paid employees Total employment of 20 and over,2015 Paid employees Total employment of less than 20,2015 Income All employment sizes,2015 Income Total employment of 20 and over,2015 Income Total employment of less than 20,2015 Expense All employment sizes,2015 Expense Total employment of 20 and over,2015 Expense Total employment of less than 20,2015 Compensation All employment sizes,2015 Compensation Total employment of 20 and over,2015 Compensation Total employment of less than 20,2015 Other expense All employment sizes,2015 Other expense Total employment of 20 and over,2015 Other expense Total employment of less than 20,2015 Value Added All employment sizes,2015 Value Added Total employment of 20 and over,2015 Value Added Total employment of less than 20,2015 Gross additions to tangible fixed assets All employment sizes,2015 Gross additions to tangible fixed assets Total employment of 20 and over,2015 Gross additions to tangible fixed assets Total employment of less than 20,2015 Change in inventories All employment sizes,2015 Change in inventories Total employment of 20 and over,2015 Change in inventories Total employment of less than 20,2015 Subsidies All employment sizes,2015 Subsidies Total employment of 20 and over,2015 Subsidies Total employment of less than 20,2015 Sales from e-commerce transactions All employment sizes,2015 Sales from e-commerce transactions Total employment of 20 and over,2015 Sales from e-commerce transactions Total employment of less than 20
"Professional, Scientific and Technical Activities",7097,839,6258,154232,106324,47908,152387,105952,46435,289274300,226740953,62533347,220882595,164234652,56647943,60164013,51311815,8852198,160718582,112922838,47795745,163809588,144455837,19353751,4695957,3738928,957029,2446,244648,-242202,143615,143615,0,0,0,0
..Legal activities,1294,71,1223,11494,3359,8134,10368,3158,7211,12981287,5967455,7013832,9298593,4165702,5132890,3634053,1529730,2104322,5664540,2635972,3028568,7880061,3446568,4433493,128189,104871,23318,-51742,0,-51742,0,0,0,0,0,0
"..Accounting, bookkeeping and auditing activities; tax consultancy",436,65,371,13755,11287,2468,13636,11167,2468,10546004,9779424,766580,8317519,7663218,654301,3047459,2736347,311113,5270059,4926871,343188,5662949,5182193,480755,589035,462851,126184,-48,-7,-42,0,0,0,0,0,0
..Activities of head offices,167,43,124,8757,8215,542,8708,8205,503,76097610,73222114,2875496,58175008,55378558,2796450,6344444,6242028,102417,51830564,49136530,2694033,46060520,44983196,1077324,1529086,1206375,322711,58968,58968,0,0,0,0,0,0,0
..Management consultancy activities,928,121,807,26862,19297,7565,26860,19295,7565,74330759,59440871,14889888,48387021,33761520,14625501,15917904,14116263,1801641,32469116,19645257,12823859,45793393,42511514,3281880,681683,550085,131598,-23288,180,-23467,143615,143615,0,0,0,0
..Environmental engineering activities,17,7,10,1011,923,88,1011,923,88,1477462,1423069,54393,1341493,1296064,45430,683548,670291,13257,657946,625773,32173,908392,882709,25683,1732,1529,203,-3732,1832,-5564,0,0,0,0,0,0
..Architectural and other engineering activities,517,160,357,29694,24445,5249,29515,24444,5071,33464035,30074425,3389610,24609083,22379672,2229411,11515269,10656624,858646,13093813,11723048,1370766,24184787,21920969,2263818,618715,577813,40901,-6238,-6238,0,0,0,0,0,0,0
..Land surveying services,88,10,78,983,454,529,982,453,529,485020,305590,179429,448167,280224,167943,142986,91439,51548,305181,188785,116396,276570,152542,124029,26459,0,26459,-1874,41,-1915,0,0,0,0,0,0
..Other technical activities related to architectural and engineering,71,21,50,2530,1954,576,2451,1952,498,2511421,2343711,167710,2118312,1966483,151829,996020,941004,55016,1122292,1025479,96813,1510940,1437968,72972,75691,66542,9149,11473,947,10525,0,0,0,0,0,0
..Technical testing and analysis,465,32,433,11792,6602,5190,11784,6594,5190,8192003,6367872,1824132,7443137,5798871,1644266,2678168,2234211,443956,4764969,3564659,1200310,3950820,3137933,812886,119881,113616,6265,119519,16668,102851,0,0,0,0,0,0
..Research and experimental development in natural sciences,20,6,14,610,377,233,609,377,232,662280,335430,326850,545448,254475,290972,173373,116226,57147,372075,138250,233825,367153,201084,166069,4378,3484,894,50,50,0,0,0,0,0,0,0
..Research and experimental development in engineering and technology,5,s,s,688,s,s,688,s,s,1522350,s,s,927097,s,s,47301,s,s,879797,s,s,804741,s,s,144443,s,s,54,s,s,0,s,s,0,s,s
..Research and experimental development in health sciences,10,6,4,497,478,19,486,467,19,924589,910636,13952,773473,760247,13226,277428,273170,4258,496045,487077,8968,478311,472134,6177,11384,10120,1265,24,24,0,0,0,0,0,0,0
..Research and experimental development in agricutural sciences,7,3,4,245,219,26,245,219,26,221167,206588,14579,192011,177400,14611,47642,43790,3852,144369,133610,10760,83662,79098,4563,5977,5833,144,-1048,0,-1048,0,0,0,0,0,0
..Research and experimental development on social sciences and humanities,13,6,7,531,473,58,527,473,54,1649163,674893,974270,1604248,708848,895401,309206,286777,22429,1295042,422071,872971,590431,312516,277915,1444,728,717,15,15,0,0,0,0,0,0,0
..Research and experimental development in information technology,17,9,8,3492,3411,81,3492,3411,81,3231625,3138596,93029,2977366,2885603,91763,1991799,1961064,30735,985567,924539,61029,2503733,2468200,35533,37614,36490,1124,129,129,0,0,0,0,0,0,0
"..Research and experimental development services, n.e.c.",3,..,3,18,..,18,18,..,18,52876,..,52876,49760,..,49760,9755,..,9755,40005,..,40005,45454,..,45454,3700,..,3700,0,..,0,0,..,0,0,..,0
"..Advertising agency, except billboard and outdoor advertising",433,78,355,8779,5112,3668,8778,5111,3668,25442720,7901814,17540906,23298938,6330152,16968786,3645650,2986467,659182,19653289,3343685,16309604,6017930,4636993,1380937,284525,275693,8832,-882,-882,0,0,0,0,0,0,0
..Billboard and outdoor advertising services,114,26,88,2239,1285,954,2181,1285,896,2827103,1587709,1239395,2453431,1332237,1121193,421466,242488,178978,2031965,1089749,942216,1332775,706658,626117,21905,16038,5867,-57281,3281,-60561,0,0,0,0,0,0
..Media representation,22,8,14,318,210,108,318,210,108,249231,94719,154512,238300,98664,139636,113034,51581,61454,125265,47083,78182,151241,61730,89511,0,0,0,0,0,0,0,0,0,0,0,0
..Commercial art services,151,9,142,1033,365,668,1025,357,668,1486157,1206102,280055,1268352,1035589,232763,194272,137763,56509,1074080,897826,176254,507749,394422,113326,15203,2253,12950,1765,0,1765,0,0,0,0,0,0
"..Advertising services, n.e.c.",158,31,127,7321,6435,885,7321,6435,885,5937831,4720970,1216861,4540014,3438070,1101944,1694363,1545000,149364,2845651,1893070,952581,3458304,3183928,274376,26064,18648,7415,49460,26176,23283,0,0,0,0,0,0
..Market research and public opinion polling,120,42,78,6728,6302,426,6728,6302,426,8442912,8222898,220014,7306117,7034808,271309,2890806,2757350,133455,4415311,4277457,137854,4941017,4833499,107519,64778,64778,0,-11516,-11516,0,0,0,0,0,0,0
..Interior decoration services other than those in class 4330,46,10,36,1115,688,427,1115,688,427,909697,418342,491354,828364,390412,437951,424350,288799,135551,404014,101614,302400,557080,336678,220403,1557,1557,0,-1598,0,-1598,0,0,0,0,0,0
..Digital photograph processing,127,6,121,1242,637,605,1242,637,605,618647,387730,230916,578716,389466,189250,156916,121950,34967,421800,267516,154284,220120,131463,88657,3112,2643,468,9697,13356,-3659,0,0,0,0,0,0
..Commercial and consumer photograph production (except aerial photography),582,6,576,3690,285,3405,3631,281,3350,2151235,184312,1966922,1750091,137964,1612127,391081,18252,372830,1359010,119713,1239297,914457,76983,837474,9522,142,9380,81171,4018,77153,0,0,0,0,0,0
..Photograph and motion pictures processing (not related to motion pictures and tv industries),25,s,s,211,s,s,211,s,s,147402,s,s,135194,s,s,46897,s,s,88298,s,s,93489,s,s,1120,s,s,52,s,s,0,s,s,0,s,s
..Film developing and printing and photograph enlarging,859,8,851,3550,91,3459,3550,91,3459,4070805,18171,4052635,3759267,19172,3740094,648717,6793,641924,3110550,12379,3098170,1270234,6775,1263458,192385,0,192385,-318358,-1567,-316791,0,0,0,0,0,0
..Aerial photography,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..
"..Photographic activities, n.e.c.",18,s,s,104,s,s,104,s,s,54638,s,s,50047,s,s,10716,s,s,39331,s,s,20162,s,s,0,s,s,-810,s,s,0,s,s,0,s,s
..Business brokerage activities,17,3,14,461,286,175,461,286,175,566343,498653,67691,520765,462404,58361,214565,187669,26896,306200,274735,31465,280178,237952,42226,3990,3897,93,0,0,0,0,0,0,0,0,0
..Weather forecasting and meteorological services,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s
..Translation and interpretation services,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s
..Environmental consulting services,20,s,s,195,s,s,195,s,s,214591,s,s,188938,s,s,52143,s,s,136794,s,s,134452,s,s,0,s,s,1,s,s,0,s,s,0,s,s
"..Other professional, scientific and technical activities, n.e.c.",111,36,75,2921,2090,831,2918,2087,831,5387781,3914110,1473671,4614112,3558640,1055473,1225531,890840,334691,3388581,2667800,720781,2195962,1378702,817260,58428,50885,7543,136955,137745,-790,0,0,0,0,0,0
..Veterinary activities,232,9,223,1275,201,1074,1139,201,938,2183275,1589543,593731,2082583,1492924,589659,190311,96860,93451,1892272,1396064,496209,405714,220604,185110,30539,15300,15239,11526,1166,10360,0,0,0,0,0,0
