,,,,,,,,,,,,,,"Summary Statistics for Real Estate Activities Establishments by Geolocation, Industry Description, Year and Data Items"
Geolocation,Industry Description,2021 Number of Establishments,2021 Total Employment a/,2021 Paid Employees a/,2021 Workers on Sub-Contract Agreement or Under Manpower Agencies/Contractors as of 15 November a/,2021 Total Revenue,2021 Total Expense,2021 Compensation,2021 Other Expense,2021 Value Added,2021 Gross Additions To Tangible Fixed Assets,2021 Change in Inventories,2021 Sales from E-Commerce Transactions,2021 Subsidies
PHILIPPINES,Real Estate Activities,5455,83548,83140,32906,793864319,549922023,39417687,510504336,383860182,60464031,51406512,-,5562945
PHILIPPINES,..Real estate activities with own or leased property,4821,75267,74982,25709,773432891,532781241,36132202,496649039,374757563,60392607,51408980,-,5562945
PHILIPPINES,..Real estate activities on a fee or contract basis,633,8281,8158,7197,20431428,17140782,3285485,13855297,9102619,71424,-2468,-,-
..National Capital Region,Real Estate Activities,3016,53880,53867,26922,643570622,436601574,31345849,405255725,315483712,53941787,50183607,-,5538911
..National Capital Region,..Real estate activities with own or leased property,2558,47096,47096,19802,625744223,421726442,28454551,393271891,307468199,53932995,50183607,-,5538911
..National Capital Region,..Real estate activities on a fee or contract basis,458,6784,6771,7120,17826399,14875132,2891298,11983834,8015513,8793,-,-,-
..Cordillera Administrative Region,Real Estate Activities,162,1968,1968,-,3419225,2102043,478974,1623069,1931128,2438,-32,-,-
..Cordillera Administrative Region,..Real estate activities with own or leased property,157,1942,1942,-,3410354,2091327,474810,1616517,1928503,2393,-11,-,-
..Cordillera Administrative Region,..Real estate activities on a fee or contract basis,5,26,26,-,8871,10715,4164,6552,2626,45,-21,-,-
..Ilocos Region,Real Estate Activities,89,1047,1047,-,1450584,1410052,304951,1105100,766334,39268,-21077,-,-
..Ilocos Region,..Real estate activities with own or leased property,86,853,853,-,1168036,1170678,216693,953985,541892,29450,-21169,-,-
..Ilocos Region,..Real estate activities on a fee or contract basis,3,194,194,-,282548,239374,88259,151115,224441,9818,92,-,-
..Cagayan Valley,Real Estate Activities,46,207,182,81,219155,175879,40267,135611,97248,-,28323,-,-
..Cagayan Valley,..Real estate activities with own or leased property,46,207,182,81,219155,175879,40267,135611,97248,-,28323,-,-
..Cagayan Valley,..Real estate activities on a fee or contract basis,,,,,,,,,,,,,
..Central Luzon,Real Estate Activities,376,5896,5896,1196,21911095,14495462,2164647,12330816,13776666,4498940,-449158,-,-
..Central Luzon,..Real estate activities with own or leased property,363,5830,5830,1196,21870975,14458333,2152416,12305917,13757242,4498940,-446866,-,-
..Central Luzon,..Real estate activities on a fee or contract basis,13,66,66,-,40120,37129,12231,24898,19424,-,-2292,-,-
..CALABARZON,Real Estate Activities,455,6412,6310,556,41633359,31270462,1832356,29438106,17737286,333481,5577525,-,23105
..CALABARZON,..Real estate activities with own or leased property,405,5682,5682,556,40245190,30121859,1661514,28460345,17210423,333481,5578739,-,23105
..CALABARZON,..Real estate activities on a fee or contract basis,50,730,628,-,1388169,1148603,170842,977761,526863,-,-1213,-,-
..MIMAROPA Region,Real Estate Activities,22,421,421,-,1159670,878533,38768,839766,367195,-,-346667,-,-
..MIMAROPA Region,..Real estate activities with own or leased property,22,421,421,-,1159671,878534,38767,839766,367195,-,-346667,-,-
..MIMAROPA Region,..Real estate activities on a fee or contract basis,c,c,c,c,c,c,c,c,c,c,c,c,c
..Bicol Region,Real Estate Activities,44,451,444,106,1525020,1279282,87492,1191790,502017,239416,-1635,-,-
..Bicol Region,..Real estate activities with own or leased property,41,443,436,103,1508310,1270612,86481,1184131,489948,239416,-2210,-,-
..Bicol Region,..Real estate activities on a fee or contract basis,3,8,8,3,16710,8670,1011,7659,12069,-,575,-,-
..Western Visayas,Real Estate Activities,191,2476,2279,256,1358734,1070342,218669,851673,721170,81136,43481,-,-
..Western Visayas,..Real estate activities with own or leased property,175,2441,2251,256,1298497,1017694,208872,808822,698965,81136,43481,-,-
..Western Visayas,..Real estate activities on a fee or contract basis,16,35,28,-,60237,52648,9797,42850,22205,-,-,-,-
..Central Visayas,Real Estate Activities,541,5655,5655,2169,56794038,43823202,1751780,42071421,22866524,354678,-4513213,-,-
..Central Visayas,..Real estate activities with own or leased property,495,5369,5369,2169,56170733,43209674,1684999,41524675,22680097,354678,-4513753,-,-
..Central Visayas,..Real estate activities on a fee or contract basis,46,286,286,-,623305,613528,66781,546747,186427,-,540,-,-
..Eastern Visayas,Real Estate Activities,77,523,523,-,675772,483260,55357,427903,303654,111255,-23729,-,-
..Eastern Visayas,..Real estate activities with own or leased property,77,523,523,-,675772,483260,55358,427903,303654,111255,-23729,-,-
..Eastern Visayas,..Real estate activities on a fee or contract basis,c,c,c,c,c,c,c,c,c,c,c,c,c
..Zamboanga Peninsula,Real Estate Activities,33,277,257,37,549219,326251,42877,283373,293048,1540,-30658,-,929
..Zamboanga Peninsula,..Real estate activities with own or leased property,33,277,257,37,549218,326251,42877,283374,293048,1540,-30658,-,929
..Zamboanga Peninsula,..Real estate activities on a fee or contract basis,c,c,c,c,c,c,c,c,c,c,c,c,c
..Northern Mindanao,Real Estate Activities,73,998,998,468,9834799,7619304,333950,7285353,4865486,662226,-37929,-,-
..Northern Mindanao,..Real estate activities with own or leased property,73,998,998,468,9834799,7619304,333950,7285354,4865486,662226,-37929,-,-
..Northern Mindanao,..Real estate activities on a fee or contract basis,c,c,c,c,c,c,c,c,c,c,c,c,c
..Davao Region,Real Estate Activities,238,2281,2237,986,7818676,6014987,570099,5444888,4056416,193085,1215647,-,-
..Davao Region,..Real estate activities with own or leased property,227,2240,2197,975,7746470,5962174,548289,5413885,4008475,193085,1215647,-,-
..Davao Region,..Real estate activities on a fee or contract basis,11,40,40,11,72206,52813,21811,31003,47940,-,-,-,-
..SOCCSKSARGEN,Real Estate Activities,78,578,578,121,376917,373894,90754,283140,142130,45678,6773,-,-
..SOCCSKSARGEN,..Real estate activities with own or leased property,56,496,496,58,280083,284332,77001,207331,108275,178,6773,-,-
..SOCCSKSARGEN,..Real estate activities on a fee or contract basis,22,82,82,63,96834,89562,13753,75809,33855,45500,-,-,-
..Caraga,Real Estate Activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Caraga,..Real estate activities with own or leased property,s,s,s,s,s,s,s,s,s,s,s,s,s
..Caraga,..Real estate activities on a fee or contract basis,,,,,,,,,,,,,
..Bangsamoro Autonomous Region in Muslim Mindanao,Real Estate Activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Bangsamoro Autonomous Region in Muslim Mindanao,..Real estate activities with own or leased property,s,s,s,s,s,s,s,s,s,s,s,s,s
..Bangsamoro Autonomous Region in Muslim Mindanao,..Real estate activities on a fee or contract basis,,,,,,,,,,,,,
