film,year,rottenTomatoesTop100
Parasite,2019,6
Lord of the Rings: The Fellowship of the Ring,2001,0
Avengers: Endgame,2019,7
Spider-Man: Into the Spider-verse,2018,19
The Dark Knight,2008,0
Mad Max: Fury Road,2015,18
Inception,2010,0
Lord of the Rings: Return of the King,2003,0
Lord of the Rings: The Two Towers,2002,0
Interstellar,2014,0
Avengers: Infinity War,2018,0
Gladiator,2000,0
Get Out,2017,15
Moonlight,2016,20
Spirited Away,2001,0
Lady Bird,2017,12
Black Panther,2018,5
Whiplash,2014,0
Mulholland Drive,2001,0
In the Mood for Love,2000,0
A Quiet Place,2018,29
Coco,2017,37
Logan,2017,34
Thor: Ragnarok,2017,42
Eternal Sunshine of the Spotless Mind,2004,0
